,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual
28,2018,37430.0,1,17.5,1199,88.7,5.0,9.9,0,0,0,0,0,0,1,0,0,0,0,0,1,1
29,2007,262000.0,4,12.8,2494,102.0,7.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
30,2013,62000.0,1,19.01,1461,108.45,5.0,7.75,1,0,0,0,0,0,0,0,0,0,1,0,0,1
31,2012,87615.0,1,14.53,1798,138.1,5.0,6.75,0,0,0,1,0,0,0,0,0,0,0,0,1,1
32,2013,72000.0,2,11.18,2696,184.0,7.0,12.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0
33,2010,35000.0,1,12.4,2698,179.5,5.0,11.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0
34,2014,55431.0,2,16.09,1598,103.5,5.0,6.98,0,0,1,0,0,0,0,0,0,0,0,0,1,1
35,2009,83816.0,2,14.0,1061,64.0,5.0,1.85,0,0,0,0,0,1,0,0,0,0,0,0,1,1
36,2018,50075.0,1,24.3,1248,88.5,5.0,8.63,0,0,0,0,0,0,1,0,0,0,1,0,0,1
37,2017,52000.0,1,18.15,1198,82.0,5.0,4.85,0,0,0,1,0,0,0,0,0,0,0,0,1,1
38,2013,85000.0,1,11.74,2987,254.8,5.0,28.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
39,2013,62000.0,1,22.07,1199,73.9,5.0,5.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
40,2008,90000.0,2,19.7,796,46.3,5.0,1.25,0,0,0,1,0,0,0,0,0,0,0,0,1,1
41,2014,19698.0,1,25.4,624,37.5,4.0,1.53,0,0,0,0,0,0,1,0,0,0,0,0,1,1
42,2017,22033.0,1,25.32,1198,77.0,6.0,5.58,0,0,1,0,0,0,0,0,0,0,1,0,0,1
43,2014,35487.0,1,18.5,1197,82.9,5.0,4.74,0,0,0,0,0,0,1,0,0,0,0,0,1,1
44,2014,46374.0,1,14.62,1999,149.92,5.0,8.85,1,0,0,0,0,0,0,0,0,0,0,0,1,0
45,2016,52001.0,1,14.28,1798,138.03,5.0,10.11,0,0,0,0,0,0,0,0,1,0,0,0,1,0
46,2008,58005.0,2,14.9,1991,112.2,5.0,4.25,0,0,0,0,0,0,0,0,0,0,1,0,0,1
47,2012,70704.0,1,11.25,2694,163.7,7.0,10.95,1,0,0,0,0,0,0,0,0,0,0,0,1,1
48,2014,75000.0,1,24.4,1120,71.0,5.0,3.85,0,0,0,0,0,1,0,0,0,0,1,0,0,1
49,2012,75800.0,2,16.55,2498,105.0,6.0,5.5,0,0,0,0,0,1,0,0,0,0,1,0,0,1
50,2015,13648.0,1,17.11,1968,174.33,5.0,21.43,0,0,0,0,0,0,1,0,0,0,1,0,0,0
51,2014,52000.0,1,22.9,1248,74.0,5.0,4.25,0,0,0,1,0,0,0,0,0,0,1,0,0,1
52,2014,53000.0,1,17.8,1248,75.0,5.0,3.3,0,0,0,0,0,0,0,1,0,0,1,0,0,1
53,2013,65650.0,1,28.4,1248,74.0,5.0,3.85,0,0,0,1,0,0,0,0,0,0,1,0,0,1
54,2015,54000.0,3,18.9,1197,82.0,5.0,3.6,0,1,0,0,0,0,0,0,0,0,0,0,1,1
55,2015,39000.0,1,15.04,1598,103.2,5.0,3.99,0,0,0,0,0,0,0,1,0,0,0,0,1,1
56,2017,16542.0,1,25.17,799,53.3,5.0,3.3,0,0,0,0,0,0,1,0,0,0,0,0,1,1
57,2010,32000.0,1,20.36,1197,78.9,5.0,2.07,0,0,0,0,0,0,0,1,0,0,0,0,1,1
58,2010,121812.0,1,13.29,1995,147.6,5.0,7.75,0,0,0,0,1,0,0,0,0,0,1,0,0,0
59,2010,39300.0,1,18.2,998,67.1,5.0,2.25,0,0,0,0,1,0,0,0,0,0,0,0,1,1
60,2017,22000.0,1,13.68,2393,147.8,8.0,16.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1
61,2010,72000.0,1,20.0,1399,68.0,5.0,2.75,1,0,0,0,0,0,0,0,0,0,1,0,0,1
62,2015,58000.0,1,11.74,1796,186.0,5.0,26.7,0,0,0,1,0,0,0,0,0,0,0,0,1,0
63,2011,65000.0,2,15.8,2148,170.0,5.0,10.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
64,2016,178000.0,1,25.0,1396,69.0,5.0,2.5,0,1,0,0,0,0,0,0,0,0,1,0,0,1
65,2012,65664.0,1,16.55,1968,140.0,5.0,13.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0
66,2007,63000.0,2,16.4,1497,78.0,5.0,1.85,0,0,0,0,0,0,0,0,1,0,0,0,1,0
67,2019,15369.0,1,18.0,1950,194.0,5.0,35.67,0,0,1,0,0,0,0,0,0,0,1,0,0,0
68,2016,63000.0,1,24.52,1248,88.5,7.0,8.15,0,0,0,0,0,0,0,0,0,1,1,0,0,1
69,2018,13000.0,1,22.1,1396,88.7,5.0,10.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1
70,2008,73000.0,1,8.5,4806,500.0,5.0,14.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0
71,2015,55729.0,1,15.1,2179,140.0,7.0,9.65,0,0,0,0,0,0,0,0,1,0,1,0,0,1
72,2012,45178.0,1,16.95,1197,78.9,5.0,3.48,0,0,0,0,0,0,1,0,0,0,0,0,1,0
73,2015,56066.0,1,19.64,1461,108.5,5.0,6.92,0,0,0,0,0,0,1,0,0,0,1,0,0,1
74,2016,37300.0,2,16.5,1198,86.8,5.0,6.46,0,0,1,0,0,0,0,0,0,0,0,0,1,0
75,2014,56000.0,2,18.53,1968,187.74,5.0,29.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
77,2006,230000.0,3,12.4,1998,132.0,8.0,4.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1
78,2012,104000.0,1,12.8,2494,102.0,7.0,11.75,0,0,0,0,1,0,0,0,0,0,1,0,0,1
80,2012,95100.0,1,22.9,1248,74.0,5.0,3.75,0,0,0,0,0,1,0,0,0,0,1,0,0,1
81,2017,70000.0,1,17.57,1193,88.7,5.0,4.5,0,0,0,0,0,0,0,0,0,1,0,0,1,1
82,2016,54944.0,1,18.0,1198,86.7,5.0,4.82,0,0,0,0,0,0,1,0,0,0,0,0,1,1
83,2012,70337.0,1,20.0,1399,68.0,5.0,2.8,0,0,0,0,1,0,0,0,0,0,1,0,0,1
84,2013,99638.0,1,23.2,1248,73.94,5.0,3.11,0,0,0,0,0,1,0,0,0,0,1,0,0,1
85,2009,52000.0,1,17.8,1497,117.3,5.0,3.25,0,0,0,1,0,0,0,0,0,0,0,0,1,1
86,2011,75000.0,2,16.73,1995,218.0,5.0,13.9,0,0,0,1,0,0,0,0,0,0,1,0,0,0
87,2009,95980.0,1,20.36,1197,78.9,5.0,2.25,0,0,0,0,0,0,0,0,0,1,0,0,1,1
88,2016,16000.0,1,18.9,1197,82.0,5.0,5.75,1,0,0,0,0,0,0,0,0,0,0,0,1,1
90,2016,18949.0,1,17.8,1198,86.7,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
91,2014,107000.0,1,13.0,2982,168.5,7.0,16.5,0,0,0,1,0,0,0,0,0,0,1,0,0,1
92,2018,48367.0,1,17.68,1968,174.33,5.0,39.58,0,0,1,0,0,0,0,0,0,0,1,0,0,0
93,2013,57000.0,1,22.7,1498,89.84,5.0,5.5,0,0,0,1,0,0,0,0,0,0,1,0,0,1
94,2014,58000.0,1,15.1,2179,140.0,7.0,8.1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
95,2015,30000.0,1,25.8,1498,98.6,5.0,3.5,0,0,0,0,0,0,0,1,0,0,1,0,0,1
96,2013,34212.0,1,22.07,1199,73.9,5.0,2.79,0,0,0,0,0,0,0,1,0,0,1,0,0,1
97,2010,70002.0,1,16.2,1493,110.0,5.0,3.45,0,0,0,0,0,0,0,0,0,0,1,0,0,1
98,2016,62000.0,1,18.9,998,67.1,5.0,4.45,1,0,0,0,0,0,0,0,0,0,0,0,1,1
99,2010,62001.0,1,15.26,1598,103.5,5.0,2.65,0,0,0,1,0,0,0,0,0,0,0,0,1,1
100,2011,78958.0,2,23.0,1396,90.0,5.0,3.8,0,0,0,0,0,0,0,0,0,1,1,0,0,1
101,2014,30180.0,1,18.5,1197,82.85,5.0,4.65,0,0,0,0,0,0,0,0,1,0,0,0,1,1
102,2017,32851.0,1,19.83,1198,67.0,7.0,3.95,0,0,0,0,0,0,0,0,0,1,0,0,1,1
103,2010,30000.0,1,14.94,2967,241.4,5.0,9.8,0,0,0,0,0,0,0,1,0,0,1,0,0,0
104,2009,66000.0,2,17.0,1197,80.0,5.0,2.7,0,0,0,0,0,0,0,0,0,1,0,0,1,1
105,2010,93850.0,1,14.0,796,35.0,5.0,2.41,0,0,1,0,0,0,0,0,0,0,0,0,1,1
106,2014,53000.0,1,17.71,1197,78.9,5.0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,1,1
107,2011,78000.0,2,14.74,2993,270.9,5.0,24.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
108,2012,65000.0,2,16.0,2179,140.0,7.0,5.75,0,0,0,1,0,0,0,0,0,0,1,0,0,1
109,2014,40000.0,1,22.32,1582,126.32,5.0,5.25,0,0,0,0,0,0,0,1,0,0,1,0,0,0
110,2017,30000.0,1,11.36,2755,171.5,7.0,19.25,0,0,0,0,0,0,0,0,1,0,1,0,0,0
111,2017,38053.0,1,15.1,1196,73.0,5.0,3.91,0,0,1,0,0,0,0,0,0,0,0,0,1,1
112,2014,25500.0,1,25.4,624,37.5,4.0,2.15,1,0,0,0,0,0,0,0,0,0,0,0,1,1
113,2015,56087.0,1,22.69,1995,190.0,5.0,20.75,0,0,0,0,0,0,0,0,1,0,1,0,0,0
114,2010,71088.0,1,13.5,1799,130.0,5.0,3.35,0,0,0,1,0,0,0,0,0,0,0,0,1,1
115,2014,55000.0,1,12.99,2494,100.6,7.0,11.11,0,0,0,0,0,0,0,0,0,0,1,0,0,1
116,2014,32700.0,1,23.3,1984,150.0,5.0,20.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
117,2016,39882.0,1,19.15,1198,75.94,5.0,6.55,0,0,1,0,0,0,0,0,0,0,0,0,1,0
118,2009,128000.0,1,10.8,2497,215.0,5.0,7.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
119,2016,55000.0,1,24.3,1248,88.5,5.0,7.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1
121,2014,53753.0,2,15.0,2143,107.3,5.0,16.75,0,0,0,0,0,0,0,0,0,1,1,0,0,0
122,2018,10250.0,1,22.0,1582,126.2,5.0,10.95,0,0,0,0,0,0,0,1,0,0,1,0,0,1
123,2011,43874.0,1,18.9,998,67.1,5.0,2.45,0,0,0,0,0,0,0,0,0,1,0,0,1,1
124,2017,32684.0,1,21.9,624,37.48,4.0,3.23,0,0,1,0,0,0,0,0,0,0,0,0,1,0
125,2014,42000.0,1,12.05,2179,120.0,8.0,7.75,0,0,0,0,0,0,0,1,0,0,1,0,0,1
126,2009,28352.0,1,11.7,1796,178.0,5.0,9.35,0,0,0,0,0,0,0,1,0,0,0,0,1,0
127,2013,89900.0,1,26.6,998,58.16,5.0,3.25,0,0,0,0,0,0,0,0,0,1,0,0,0,1
128,2007,47700.0,2,10.8,2354,152.0,5.0,5.25,1,0,0,0,0,0,0,0,0,0,0,0,1,1
129,2015,55000.0,1,21.21,1498,103.2,5.0,7.25,0,0,0,0,0,0,0,0,0,1,1,0,0,0
130,2017,44285.0,1,20.73,1373,91.1,5.0,7.47,0,0,0,0,0,0,1,0,0,0,0,0,1,1
131,2016,54000.0,1,16.0,2179,140.0,7.0,13.25,0,0,0,0,0,1,0,0,0,0,1,0,0,0
132,2016,30232.0,1,21.1,1197,85.8,5.0,5.81,0,0,1,0,0,0,0,0,0,0,0,0,1,1
133,2014,88500.0,1,24.07,998,67.1,5.0,2.6,0,0,0,0,1,0,0,0,0,0,0,0,1,1
134,2017,13372.0,1,19.0,2996,362.07,2.0,54.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
135,2019,12645.0,1,17.0,1591,121.3,5.0,11.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0
136,2010,94385.0,2,19.7,796,46.3,5.0,1.6,0,1,0,0,0,0,0,0,0,0,0,0,1,1
137,2015,31821.0,1,20.58,1995,143.0,5.0,17.22,0,0,1,0,0,0,0,0,0,0,1,0,0,0
138,2015,12000.0,1,19.0,1199,88.7,5.0,6.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
139,2012,88578.0,1,13.5,1799,130.0,5.0,3.95,0,0,0,1,0,0,0,0,0,0,0,0,1,1
140,2014,44965.0,1,19.27,2143,170.0,5.0,17.95,0,0,0,0,0,0,1,0,0,0,1,0,0,0
141,2014,45044.0,1,25.8,1498,98.6,5.0,3.7,0,0,0,0,0,0,0,1,0,0,1,0,0,1
142,2016,34204.0,1,22.0,1197,81.8,5.0,5.43,0,0,0,0,0,0,1,0,0,0,0,0,1,1
144,2012,91235.0,1,11.5,2982,171.0,7.0,13.49,0,0,1,0,0,0,0,0,0,0,1,0,0,1
145,2014,38800.0,1,18.6,1199,76.8,5.0,2.85,0,0,0,0,0,0,0,0,0,1,0,0,1,1
146,2013,83000.0,1,21.14,1498,103.52,5.0,4.75,0,1,0,0,0,0,0,0,0,0,1,0,0,1
147,2018,41283.0,1,20.73,1373,91.1,5.0,9.9,0,0,0,0,0,0,1,0,0,0,0,0,1,1
148,2013,23000.0,1,11.05,2894,444.0,4.0,37.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
149,2014,48000.0,1,21.76,1995,190.0,5.0,26.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
150,2015,48214.0,1,17.11,1968,174.33,5.0,23.32,0,0,1,0,0,0,0,0,0,0,1,0,0,0
151,2016,35000.0,1,22.9,1248,74.0,5.0,6.25,0,1,0,0,0,0,0,0,0,0,1,0,0,1
152,2010,35277.0,1,7.81,5461,362.9,5.0,30.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
153,2016,54620.0,1,21.66,1498,103.52,5.0,9.86,0,0,1,0,0,0,0,0,0,0,1,0,0,0
154,2012,136997.0,1,17.2,1968,138.1,5.0,8.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0
155,2019,14322.0,1,21.1,814,55.2,5.0,4.23,0,0,0,0,0,0,1,0,0,0,0,0,1,1
156,2012,65634.0,1,22.07,1199,73.9,5.0,3.5,0,0,0,0,0,1,0,0,0,0,1,0,0,1
157,2016,6000.0,1,20.63,1198,67.06,5.0,2.5,0,0,0,0,0,0,0,1,0,0,0,0,1,1
158,2013,33280.0,1,19.4,1198,86.8,5.0,2.39,0,0,0,0,0,0,0,1,0,0,0,0,1,1
159,2013,29000.0,1,14.8,1595,120.7,5.0,11.25,0,0,0,1,0,0,0,0,0,0,0,0,1,0
160,2015,42831.0,1,26.0,1498,98.6,5.0,7.11,0,0,0,0,0,0,1,0,0,0,1,0,0,1
161,2016,90000.0,1,12.99,2494,100.6,7.0,10.9,0,0,0,0,0,0,0,0,0,0,1,0,0,1
162,2017,24005.0,1,20.4,1197,81.8,5.0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
163,2012,32792.0,1,15.1,2179,140.0,7.0,7.9,0,0,0,0,0,0,0,0,1,0,1,0,0,1
164,2014,147898.0,1,22.7,1498,89.84,5.0,4.42,0,0,0,0,0,0,1,0,0,0,1,0,0,1
165,2012,131765.0,1,13.0,2982,168.5,7.0,13.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1
166,2013,65000.0,1,21.5,1498,108.5,5.0,6.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0
167,2010,66123.0,2,20.0,1399,68.0,5.0,2.1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
168,2015,41000.0,1,15.3,2993,258.0,5.0,45.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
169,2017,23550.0,1,19.27,2143,167.62,5.0,33.66,0,0,1,0,0,0,0,0,0,0,1,0,0,0
170,2012,45000.0,2,19.4,1198,86.8,5.0,3.65,1,0,0,0,0,0,0,0,0,0,0,0,1,1
171,2013,60000.0,1,20.36,1197,78.9,5.0,2.75,0,0,0,1,0,0,0,0,0,0,0,0,1,1
172,2016,44414.0,1,17.9,2143,170.0,5.0,42.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0
173,2019,1000.0,1,18.9,1197,81.86,5.0,6.5,0,0,0,0,0,0,0,1,0,0,0,0,1,1
174,2012,62500.0,2,17.68,1968,174.33,5.0,19.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
175,2013,21000.0,2,14.4,1598,103.6,5.0,4.45,0,0,0,0,0,0,0,0,1,0,0,0,1,0
176,2017,8525.0,2,16.6,1998,112.0,5.0,23.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
177,2014,29000.0,1,22.54,1396,88.73,5.0,8.35,1,0,0,0,0,0,0,0,0,0,1,0,0,1
178,2014,40000.0,1,17.68,1968,174.33,5.0,22.95,0,0,0,0,0,0,0,0,1,0,1,0,0,0
179,2012,88000.0,1,25.44,936,57.6,5.0,1.5,0,0,0,0,0,1,0,0,0,0,1,0,0,1
180,2012,53537.0,1,13.7,1798,157.75,5.0,6.89,0,0,0,0,0,0,1,0,0,0,0,0,1,0
181,2006,216000.0,2,17.8,1399,68.0,5.0,1.45,0,1,0,0,0,0,0,0,0,0,1,0,0,1
182,2014,51000.0,1,22.48,1995,190.0,5.0,33.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0
183,2007,118500.0,1,12.9,1598,102.5,5.0,1.25,0,0,0,0,0,1,0,0,0,0,0,0,1,1
184,2012,63000.0,1,22.07,1199,73.9,5.0,4.2,0,0,0,0,1,0,0,0,0,0,1,0,0,1
185,2015,25000.0,1,19.98,1461,108.5,8.0,6.75,0,0,0,0,0,0,0,0,1,0,1,0,0,1
186,2014,37382.0,1,13.0,2143,201.1,5.0,32.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
187,2017,24773.0,1,21.4,1197,83.1,5.0,7.5,0,0,0,0,0,0,1,0,0,0,0,0,1,1
188,2012,62000.0,1,22.32,1582,126.32,5.0,4.6,0,0,0,1,0,0,0,0,0,0,1,0,0,1
189,2017,52340.0,1,19.81,1086,68.05,5.0,4.04,0,0,0,0,0,0,1,0,0,0,0,0,1,1
190,2016,56739.0,1,15.4,1997,120.0,7.0,10.31,0,0,0,0,0,0,1,0,0,0,1,0,0,1
191,2018,36091.0,1,12.7,2179,187.7,5.0,55.76,0,0,1,0,0,0,0,0,0,0,1,0,0,0
192,2010,120000.0,1,20.0,1399,68.0,5.0,2.6,0,1,0,0,0,0,0,0,0,0,1,0,0,1
193,2016,33000.0,1,25.47,1248,88.5,7.0,8.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1
194,2014,52000.0,1,25.8,1498,98.6,5.0,3.5,0,0,0,0,0,0,0,1,0,0,1,0,0,1
195,2015,43571.0,1,20.36,1197,78.9,5.0,3.55,0,0,0,0,0,1,0,0,0,0,0,0,1,1
196,2013,50000.0,1,25.8,1498,98.6,5.0,3.25,0,0,0,0,0,0,0,1,0,0,1,0,0,1
197,2008,113000.0,1,17.5,1896,106.0,5.0,4.5,0,0,0,0,1,0,0,0,0,0,1,0,0,1
198,2014,90000.0,1,19.87,1461,83.8,5.0,5.35,0,0,0,1,0,0,0,0,0,0,1,0,0,1
199,2017,29000.0,2,17.45,1493,100.0,7.0,6.5,0,1,0,0,0,0,0,0,0,0,1,0,0,1
200,2016,20000.0,1,24.3,1248,88.5,5.0,9.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
201,2016,61012.0,1,18.6,1197,81.83,5.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
202,2009,87459.0,1,14.7,1390,85.0,5.0,2.75,0,0,0,0,0,1,0,0,0,0,0,0,1,1
203,2010,70500.0,1,15.64,1193,64.1,5.0,1.5,0,0,0,0,0,0,0,0,0,1,0,0,1,1
204,2015,64103.0,1,15.73,1968,174.33,5.0,19.9,0,0,0,1,0,0,0,0,0,0,1,0,0,0
205,2014,76000.0,1,14.7,1798,177.5,5.0,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
206,2014,104000.0,1,23.59,1364,67.06,5.0,3.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
207,2014,37245.0,1,14.8,1595,120.7,5.0,11.96,0,0,0,0,0,0,1,0,0,0,0,0,1,0
208,2013,45000.0,1,27.4,1498,98.6,5.0,3.25,0,0,0,0,0,0,0,1,0,0,1,0,0,1
209,2012,117837.0,2,22.32,1582,126.32,5.0,4.75,0,0,0,0,0,1,0,0,0,0,1,0,0,1
210,2014,30000.0,1,20.46,1461,83.8,5.0,5.95,0,0,0,0,0,0,0,0,1,0,1,0,0,1
211,2015,27057.0,2,15.29,1591,121.3,5.0,8.15,0,0,0,1,0,0,0,0,0,0,0,0,1,1
212,2016,8500.0,1,20.51,998,67.0,5.0,4.22,0,0,0,0,0,0,0,0,1,0,0,0,1,0
213,2010,30500.0,1,11.74,1796,186.0,5.0,10.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0
214,2012,56000.0,1,11.8,2967,246.7,5.0,45.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
215,2012,44000.0,2,19.81,1086,68.05,5.0,2.9,0,0,0,0,0,0,0,0,0,1,0,0,1,1
216,2017,10500.0,1,14.3,1598,103.52,5.0,8.9,0,0,0,0,0,0,0,0,1,0,0,0,1,0
217,2017,26000.0,1,14.67,1798,177.46,5.0,26.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
218,2018,25166.0,1,17.19,1197,81.86,5.0,8.22,0,0,1,0,0,0,0,0,0,0,0,0,1,1
219,2014,64000.0,2,25.8,1498,98.6,5.0,3.5,0,0,0,0,0,0,0,1,0,0,1,0,0,1
220,2004,61000.0,2,18.9,998,67.1,5.0,1.25,0,1,0,0,0,0,0,0,0,0,0,0,1,1
221,2013,107000.0,1,21.03,1461,65.0,5.0,3.7,0,0,0,0,1,0,0,0,0,0,1,0,0,1
222,2018,29161.0,1,19.27,2143,167.62,5.0,39.41,0,0,1,0,0,0,0,0,0,0,1,0,0,0
223,2013,32000.0,1,22.5,998,67.04,5.0,2.65,0,0,0,0,0,0,0,1,0,0,0,0,1,1
224,2015,46173.0,2,19.01,1461,108.5,5.0,8.92,0,0,1,0,0,0,0,0,0,0,1,0,0,1
226,2017,26327.0,1,16.82,1998,189.08,4.0,35.67,0,0,0,0,0,0,1,0,0,0,0,0,1,0
227,2007,200000.0,2,17.2,1396,53.5,5.0,0.85,0,0,0,0,0,1,0,0,0,0,1,0,0,1
228,2016,60813.0,2,18.6,1199,76.8,5.0,3.32,0,0,0,0,0,0,1,0,0,0,0,0,1,1
229,2012,45000.0,1,22.07,1199,73.9,5.0,3.6,0,0,0,0,0,0,0,0,1,0,1,0,0,1
230,2016,64000.0,1,22.9,1248,74.0,5.0,6.8,0,0,0,0,1,0,0,0,0,0,1,0,0,1
231,2012,41284.0,1,20.0,1399,68.05,5.0,2.5,0,0,0,0,0,0,0,1,0,0,1,0,0,1
232,2019,14165.0,1,11.36,2755,171.5,7.0,19.64,0,0,0,0,0,0,1,0,0,0,1,0,0,0
233,2011,67000.0,2,11.72,2199,194.3,7.0,7.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
234,2011,32572.0,1,17.4,1497,117.3,5.0,3.87,0,0,0,0,0,0,0,1,0,0,0,0,1,1
235,2018,14960.0,1,18.6,1197,81.83,5.0,6.27,0,0,0,0,0,0,1,0,0,0,0,0,1,1
236,2015,55980.0,1,19.27,2143,167.62,5.0,18.12,0,0,0,0,0,0,1,0,0,0,1,0,0,0
